,Unnamed: 0,min_num_neighbors,epsilon,num_clusters,score
1,1,4,1.15,2,0.7669875319563174
2,2,4,1.2000000000000002,2,0.7508351531210565
4,4,4,1.3000000000000005,2,0.6918938130122795
5,5,4,1.3500000000000003,2,0.6843868012389274
6,6,4,1.4000000000000004,2,0.6695184400762639
7,7,4,1.4500000000000004,2,0.6614792694592634
11,11,5,1.2500000000000002,2,0.7285905216543328
12,12,5,1.3000000000000005,2,0.7062805142309702
13,13,5,1.3500000000000003,2,0.6859249918396138
14,14,5,1.4000000000000004,2,0.6761934644528327
15,15,5,1.4500000000000004,2,0.6638067216017068
19,19,6,1.2500000000000002,2,0.7580115317707192
20,20,6,1.3000000000000005,2,0.7177844458509567
21,21,6,1.3500000000000003,2,0.7140705250032447
22,22,6,1.4000000000000004,2,0.7014194150051406
23,23,6,1.4500000000000004,2,0.6739095045728523
28,28,7,1.3000000000000005,2,0.7562972106908763
29,29,7,1.3500000000000003,2,0.7389703746182479
30,30,7,1.4000000000000004,2,0.7043565261676461
31,31,7,1.4500000000000004,2,0.6864418203770135
38,38,8,1.4000000000000004,2,0.7133239536491588
39,39,8,1.4500000000000004,2,0.7042550020785755
